"days","R_p","sd_p"
2020-07-16,0.937,0.0331
2020-07-17,0.938,0.0346
2020-07-18,0.846,0.0406
2020-07-19,0.87,0.0457
2020-07-20,0.89,0.0574
2020-07-21,0.979,0.0662
2020-07-22,0.902,0.0507
2020-07-23,0.98,0.0624
2020-07-24,0.91,0.0502
2020-07-25,0.953,0.0743
2020-07-26,0.919,0.0553
2020-07-27,0.941,0.0596
2020-07-28,0.862,0.0487
2020-07-29,0.929,0.0543
2020-07-30,1.06,0.0788
2020-07-31,NA,NA
2020-08-01,NA,NA
2020-08-02,0.98,0.0715
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.868,0.0658
2020-08-06,0.974,0.14
2020-08-07,1.1,0.157
2020-08-08,1.12,0.19
2020-08-09,1.14,0.183
2020-08-10,1.14,0.148
2020-08-11,0.155,0.0757
2020-08-12,0.98,0.0886
2020-08-13,0.908,0.085
2020-08-14,0.914,0.0853
2020-08-15,1.18,0.181
2020-08-16,0.948,0.077
2020-08-17,0.981,0.0847
2020-08-18,0.949,0.0665
2020-08-19,0.804,0.0576
2020-08-20,0.756,0.0619
2020-08-21,0.893,0.131
2020-08-22,0.888,0.129
2020-08-23,0.962,0.128
2020-08-24,0.904,0.0899
2020-08-25,0.976,0.109
2020-08-26,0.851,0.0669
2020-08-27,0.951,0.0946
2020-08-28,0.846,0.0661
2020-08-29,1.03,0.184
2020-08-30,0.868,0.0864
2020-08-31,0.908,0.075
2020-09-01,0.828,0.0702
2020-09-02,0.847,0.0884
2020-09-03,NA,NA
2020-09-04,0.818,0.0728
2020-09-05,1.06,0.281
2020-09-06,1.24,0.367
2020-09-07,1.21778614610063,0.294226926703821
2020-09-08,1.05587677003977,0.156469571543672
2020-09-09,0.985290742994412,0.148494242794334
2020-09-10,0.801188825783538,0.0832013500311194
2020-09-11,0.845324056978101,0.0904696404788501
2020-09-12,0.938311081383599,0.256982511925935
2020-09-13,0.92141072653292,0.144068469288605
2020-09-14,1.09288441430944,0.187632439516371
2020-09-15,1.43933809950077,0.530283892556206
2020-09-16,1.35182248057983,0.318487468846781
2020-09-17,1.17205345193167,0.207228469304034
2020-09-18,1.30937868957127,0.285911330736625
2020-09-30,0.98238538482505,0.100880845548152
2020-10-01,1.04957104472783,0.165069895867579
2020-10-02,0.954184201013798,0.105355445324416
2020-10-03,1.52715511084755,0.460556244543358
2020-10-04,1.64337713300145,0.525713676047858
2020-10-05,1.33043841101496,0.255343323392205
2020-10-06,1.15697095025284,0.230661299645346
2020-10-07,0.906334953908298,0.105520298783671
2020-10-08,1.01969501923027,0.190417773446926
2020-10-09,1.23200213953704,0.295739927242679
2020-10-10,1.49528880230804,0.55685184814715
2020-10-11,1.45731325099084,0.476245569955973
