"days","R_p","sd_p"
2020-07-15,1.07,0.113
2020-07-16,1.1,0.132
2020-07-17,1.07,0.108
2020-07-18,1.07,0.108
2020-07-19,1.02,0.0936
2020-07-20,0.947,0.0859
2020-07-21,0.906,0.0793
2020-07-22,0.877,0.0758
2020-07-23,0.961,0.0879
2020-07-24,1.01,0.0993
2020-07-25,0.954,0.0975
2020-07-26,0.91,0.0845
2020-07-27,0.906,0.0836
2020-07-28,1.03,0.102
2020-07-29,1.03,0.104
2020-07-30,1.07,0.113
2020-07-31,NA,NA
2020-08-01,NA,NA
2020-08-02,0.955,0.0838
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.02,0.116
2020-08-06,0.82,0.068
2020-08-07,0.933,0.125
2020-08-08,1.13,0.168
2020-08-09,1.03,0.125
2020-08-10,0.83,0.0844
2020-08-11,0.831,0.0698
2020-08-12,0.833,0.0804
2020-08-13,0.855,0.0905
2020-08-14,0.887,0.137
2020-08-15,0.992,0.149
2020-08-16,1.07,0.173
2020-08-17,0.959,0.106
2020-08-18,1.03,0.112
2020-08-19,0.958,0.109
2020-08-20,1.02,0.147
2020-08-21,1.1,0.172
2020-08-22,1.02,0.141
2020-08-23,1.02,0.12
2020-08-24,0.9,0.0936
2020-08-25,1.01,0.102
2020-08-26,0.895,0.079
2020-08-27,0.882,0.0788
2020-08-28,1.14,0.15
2020-08-29,1.22,0.189
2020-08-30,1.28,0.178
2020-08-31,0.96,0.0787
2020-09-01,0.901,0.0638
2020-09-02,0.872,0.0696
2020-09-03,NA,NA
2020-09-04,1.09,0.179
2020-09-05,1.23,0.26
2020-09-06,1.16,0.299
2020-09-07,0.83884019769457,0.0903823636650129
2020-09-08,0.728391462218639,0.0941940950802784
2020-09-09,0.70705251620158,0.117516426698891
2020-09-10,0.984399114483817,0.254468024608523
2020-09-11,1.29817365683607,0.519984214001769
2020-09-12,1.48491014359889,0.486570467610717
2020-09-13,1.47523186405703,0.446148866284696
2020-09-14,1.53053508344527,0.506310749309183
2020-09-15,1.70436642525723,0.713864624193757
2020-09-16,1.59764057883226,0.456601328084563
2020-09-17,1.56824586544225,0.37206726057672
2020-09-18,2.24266419862239,0.990673095084947
2020-09-30,1.7161695187068,0.466929581942757
2020-10-01,1.67749951881952,0.428897688253051
2020-10-02,1.70214683692481,0.461268762070874
2020-10-03,2.0172861257629,0.744431160201022
2020-10-04,1.813104960179,0.512149549190411
2020-10-05,1.42061895360321,0.281749286181507
2020-10-06,1.37562619835611,0.318338074648841
2020-10-07,1.52348256805405,0.535582571141635
2020-10-08,1.52744920665451,0.473047799567112
2020-10-09,1.6011412657039,0.477963267557976
2020-10-10,2.03283523184863,0.882065215681496
2020-10-11,2.0601330876856,0.748066080336738
