"days","R_p","sd_p"
2020-07-30,1.17,0.0704
2020-07-31,NA,NA
2020-08-01,NA,NA
2020-08-02,1.11,0.0621
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.15,0.102
2020-08-06,1.11,0.0984
2020-08-07,1.19,0.153
2020-08-08,1.33,0.187
2020-08-09,1.33,0.159
2020-08-10,1.33,0.155
2020-08-11,1.29,0.146
2020-08-12,1.19,0.105
2020-08-13,1.19,0.109
2020-08-14,1.3,0.165
2020-08-15,1.28,0.166
2020-08-16,1.27,0.155
2020-08-17,1.09,0.0824
2020-08-18,1.08,0.106
2020-08-19,1.08,0.103
2020-08-20,1.03,0.0827
2020-08-21,1.24,0.198
2020-08-22,1.26,0.162
2020-08-23,1.28,0.169
2020-08-24,1.33,0.156
2020-08-25,1.13,0.0854
2020-08-26,1.07,0.0762
2020-08-27,1.27,0.157
2020-08-28,1.3,0.175
2020-08-29,1.32,0.175
2020-08-30,1.27,0.163
2020-08-31,1.2,0.123
2020-09-01,1.23,0.128
2020-09-02,1.1,0.0786
2020-09-03,NA,NA
2020-09-04,1.51,0.439
2020-09-05,1.45,0.339
2020-09-06,1.43,0.368
2020-09-07,1.28635211601209,0.218998649077957
2020-09-08,1.24916408398886,0.231315350733424
2020-09-09,1.3423562096386,0.27423020159544
2020-09-10,1.06218833488335,0.106863430472164
2020-09-11,1.2605613674341,0.316886431563778
2020-09-12,1.26719515735906,0.284547074099067
2020-09-13,1.2749357766267,0.255236877517373
2020-09-14,1.24802668367274,0.197615541184322
2020-09-15,1.54433714125778,0.498110583782679
2020-09-16,1.39677155912135,0.306583399059073
2020-09-17,1.23963295223658,0.187378614175954
2020-09-18,1.55680909031567,0.471465773165222
2020-09-30,1.20787365417338,0.219903390939662
2020-10-01,1.24872502747449,0.209895227806471
2020-10-02,1.38495579604442,0.352742586596454
2020-10-03,1.30743099122427,0.27187541828843
2020-10-04,1.22816730703306,0.225872133334036
2020-10-05,1.25951949390017,0.222222406290728
2020-10-06,1.34030343577758,0.360651563337779
2020-10-07,1.19238875540497,0.247848781491894
2020-10-08,1.24166811543875,0.258909821390445
2020-10-09,1.43372629657395,0.483117799179686
2020-10-10,1.47354528879397,0.437844118082869
2020-10-11,1.41610308319891,0.361058217998218
