"days","R_p","sd_p"
2020-07-22,1.1,0.169
2020-07-23,1.31,0.235
2020-07-24,1.15,0.148
2020-07-25,1.1,0.168
2020-07-26,1.13,0.162
2020-07-27,1.21,0.165
2020-07-28,1.2,0.142
2020-07-29,1.05,0.0913
2020-07-30,1.31,0.278
2020-07-31,NA,NA
2020-08-01,1.18,0.143
2020-08-02,NA,NA
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.12,0.178
2020-08-06,1.05,0.272
2020-08-07,1.36,0.423
2020-08-08,1.48,0.385
2020-08-09,1.49,0.362
2020-08-10,1.2,0.191
2020-08-11,NA,NA
2020-08-12,1.18,0.234
2020-08-13,1.41,0.381
2020-08-14,NA,NA
2020-08-15,1.62,0.463
2020-08-16,1.68,0.465
2020-08-17,1.51,0.324
2020-08-18,1.19,0.147
2020-08-19,1.1,0.126
2020-08-20,1.14,0.183
2020-08-21,1.11,0.173
2020-08-22,1.24,0.228
2020-08-23,1.39,0.334
2020-08-24,1.39,0.303
2020-08-25,1.11,0.223
2020-08-26,0.996,0.237
2020-08-27,NA,NA
2020-08-28,1.25,0.303
2020-08-29,1.41,0.345
2020-08-30,1.37,0.316
2020-08-31,NA,NA
2020-09-01,1.2,0.222
2020-09-02,1.23,0.262
2020-09-03,NA,NA
2020-09-04,1.12,0.17
2020-09-05,1.46,0.35
2020-09-06,1.72,0.617
2020-09-07,2.13849473743575,0.820735450723894
2020-09-08,1.81738180787781,0.422120477064742
2020-09-09,1.60901668151032,0.352172616096913
2020-09-12,1.59979538956299,0.345231494230725
2020-09-13,1.55034927083619,0.269821100104637
2020-09-14,1.53989653270185,0.447027917310635
2020-09-16,1.63794556594818,0.574474583490197
2020-09-17,1.6429743356745,0.411954389468668
2020-09-18,1.65838700661293,0.402758925121822
2020-09-19,1.456491707,0.290690254
2020-09-21,1.448855989,0.387876226
2020-09-22,1.156648839,0.166183602
2020-09-23,1.588841146,0.543476528
2020-09-25,1.0862831,0.228722881
2020-09-26,1.472284265,0.421203367
2020-09-27,1.309479577,0.320192459
2020-09-19,1.456491707,0.290690254
2020-09-21,1.448855989,0.387876226
2020-09-22,1.156648839,0.166183602
2020-09-23,1.588841146,0.543476528
2020-09-25,1.0862831,0.228722881
2020-09-26,1.472284265,0.421203367
2020-09-27,1.309479577,0.320192459
2020-09-28,1.06943717102101,0.16951120529298
2020-09-30,1.36710945921326,0.340429642453578
2020-10-02,1.71413037005604,0.49936299478608
2020-10-03,1.41297657795837,0.29827365469337
2020-10-04,1.7093377040449,0.440300361242452
