"days","R_p","sd_p"
2020-07-15,0.9037008,0.132338
2020-07-16,1.13,0.209
2020-07-17,1.02,0.143
2020-07-18,0.892,0.0941
2020-07-19,0.938,0.151
2020-07-20,0.839,0.126
2020-07-21,0.965,0.14
2020-07-22,NA,NA
2020-07-23,0.936,0.165
2020-07-24,0.856,0.111
2020-07-25,NA,NA
2020-07-26,0.782,0.108
2020-07-27,0.745,0.0875
2020-07-28,0.878,0.157
2020-07-29,0.916,0.16
2020-07-30,1.17,0.253
2020-07-31,NA,NA
2020-08-01,0.948,0.127
2020-08-02,NA,NA
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.31,0.31
2020-08-06,1.01,0.196
2020-08-07,0.933,0.134
2020-08-08,1,0.122
2020-08-09,1.31,0.25
2020-08-10,1.14,0.178
2020-08-11,1.09,0.131
2020-08-12,1.33,0.323
2020-08-13,1.07,0.169
2020-08-14,1.39,0.246
2020-08-15,1.21,0.19
2020-08-16,1.53,0.305
2020-08-17,1.36,0.254
2020-08-18,1.14,0.159
2020-08-19,1.13,0.168
2020-08-20,0.954,0.14
2020-08-21,0.926,0.14
2020-08-22,0.987,0.178
2020-08-23,1.18,0.269
2020-08-24,0.969,0.207
2020-08-25,1.05,0.18
2020-08-26,1.1,0.137
2020-08-27,0.968,0.125
2020-08-28,1.31,0.279
2020-08-29,1.36,0.239
2020-08-30,1.19,0.21
2020-08-31,0.955,0.133
2020-09-01,1.21,0.199
2020-09-02,0.937,0.126
2020-09-03,0.913,0.11
2020-09-04,NA,NA
2020-09-05,1.22,0.272
2020-09-06,1.26,0.243
2020-09-07,1.0436647907567,0.146845485973719
2020-09-08,0.762267091787457,0.0962324239666682
2020-09-10,1.11775380831216,0.204754934397652
2020-09-12,1.35827122182385,0.277415710060201
2020-09-13,1.4002552200184,0.240926779387027
2020-09-14,1.16440739570427,0.167914685152913
2020-09-16,1.21872279886853,0.146472090589458
2020-09-17,1.18631153483537,0.128865751714864
2020-09-18,1.27974079608575,0.166498181256209
2020-09-19,1.32498808173751,0.196801953470447
2020-09-20,1.30408436360394,0.160377050387272
2020-09-21,1.16723205668243,0.112392709946366
2020-09-22,1.18939950585209,0.118459675435689
2020-09-24,1.1505753090052,0.11456933837529
2020-09-25,1.27870148861769,0.181289677781531
2020-09-26,1.4575197278156,0.233534031796605
2020-09-27,1.4085952717669,0.214864136405125
2020-09-28,1.33517855877176,0.171783389630931
2020-09-19,1.32498808173751,0.196801953470447
2020-09-20,1.30408436360394,0.160377050387272
2020-09-21,1.16723205668243,0.112392709946366
2020-09-22,1.18939950585209,0.118459675435689
2020-09-24,1.1505753090052,0.11456933837529
2020-09-25,1.27870148861769,0.181289677781531
2020-09-26,1.4575197278156,0.233534031796605
2020-09-27,1.4085952717669,0.214864136405125
2020-09-28,1.33517855877176,0.171783389630931
2020-09-30,1.27728214273526,0.169972718132007
2020-10-01,1.30736906290957,0.127968837531273
2020-10-02,1.29496011353157,0.14720514799032
2020-10-03,1.30745591387956,0.154338890695524
2020-10-04,1.07906764544447,0.128645962690736
2020-10-05,0.903485108358765,0.10771327518083
2020-10-07,1.05713514074037,0.117987234932783
2020-10-08,1.11443606978837,0.112944671526422
2020-10-09,1.16715024297406,0.128765544017414
2020-10-10,1.24806890951436,0.161443985638383
2020-10-11,1.19665449909534,0.141423777596445
2020-10-23,0.758331701474783,0.171963176303822
