"days","R_p","sd_p"
2020-08-01,1.15,0.0536
2020-08-02,1.09,0.0481
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.05,0.0751
2020-08-06,1.01,0.0928
2020-08-07,1.13,0.142
2020-08-08,1.21,0.142
2020-08-09,1.12,0.0908
2020-08-10,1.05,0.0757
2020-08-11,1.02,0.0676
2020-08-12,1.18,0.138
2020-08-13,1.17,0.105
2020-08-14,1.07,0.0938
2020-08-15,1.02,0.0924
2020-08-16,1.13,0.0969
2020-08-17,1.13,0.0833
2020-08-18,0.977,0.0498
2020-08-19,0.986,0.0621
2020-08-20,1.04,0.0862
2020-08-21,1.06,0.0821
2020-08-22,0.994,0.0719
2020-08-23,1.06,0.0987
2020-08-24,1.04,0.081
2020-08-25,0.889,0.0448
2020-08-26,0.971,0.0817
2020-08-27,1.01,0.101
2020-08-28,0.935,0.0636
2020-08-29,0.97,0.086
2020-08-30,0.848,0.0479
2020-08-31,0.753,0.037
2020-09-01,0.804,0.0419
2020-09-02,0.758,0.0474
2020-09-03,NA,NA
2020-09-04,1.33,0.19
2020-09-05,1.36,0.237
2020-09-06,1.35,0.223
2020-09-07,1.35851002845089,0.217699392541575
2020-09-08,1.11690170073891,0.140355852632064
2020-09-09,1.28861808519577,0.203671433269534
2020-09-10,1.40882226348378,0.237754895698235
2020-09-11,1.32918363322637,0.200941168247013
2020-09-12,1.41557228649535,0.288079932767237
2020-09-13,1.50236703958469,0.237965692086533
2020-09-14,1.21264986819753,0.113152127384542
2020-09-15,1.31492776259123,0.219277738443558
2020-09-16,1.35212265699669,0.220565586387884
2020-09-17,1.58977725449411,0.339931591416635
2020-09-18,1.5933101740126,0.292465435296403
2020-09-19,1.71281702023078,0.40983473949278
2020-09-20,1.44925880538094,0.209051756977991
2020-09-21,1.30961866420486,0.146213084365744
2020-09-22,1.06986566554052,0.093672256271389
2020-09-23,1.31537818946865,0.255298537837994
2020-09-24,1.34567637187361,0.236525182489931
2020-09-25,1.45062476015161,0.258096280677507
2020-09-26,1.80637447937641,0.432809885419436
2020-09-27,1.46067926374637,0.236912614177114
2020-09-28,1.35427777765901,0.159854811789302
2020-09-19,1.71281702023078,0.40983473949278
2020-09-20,1.44925880538094,0.209051756977991
2020-09-21,1.30961866420486,0.146213084365744
2020-09-22,1.06986566554052,0.093672256271389
2020-09-23,1.31537818946865,0.255298537837994
2020-09-24,1.34567637187361,0.236525182489931
2020-09-25,1.45062476015161,0.258096280677507
2020-09-26,1.80637447937641,0.432809885419436
2020-09-27,1.46067926374637,0.236912614177114
2020-09-28,1.35427777765901,0.159854811789302
2020-09-30,1.22121706462022,0.180194657588762
2020-10-01,1.31869294239111,0.246124920599256
2020-10-02,1.31114532795497,0.219398924312202
2020-10-03,1.20672707795841,0.22134761550504
2020-10-04,1.25612626166955,0.217725834831088
2020-10-05,1.29905143720498,0.232714434618363
2020-10-06,1.20177615541409,0.220145787473759
2020-10-07,1.30835639878145,0.241583951258222
2020-10-08,1.23764818819163,0.254711819602401
2020-10-09,1.10321996919936,0.132474937005629
2020-10-10,1.27024139807025,0.290588095074096
2020-10-11,1.2328926762723,0.20345409101969
