"days","R_p","sd_p"
2020-07-15,0.8911785,0.06538069
2020-07-16,0.905,0.053
2020-07-17,0.974,0.0617
2020-07-18,0.972,0.0757
2020-07-19,1.07,0.0866
2020-07-20,1.05,0.0813
2020-07-21,0.86,0.0477
2020-07-22,0.947,0.0606
2020-07-23,0.976,0.0559
2020-07-24,1.09,0.0948
2020-07-25,0.92,0.0587
2020-07-26,1.04,0.0831
2020-07-27,1.15,0.104
2020-07-28,1.22,0.0985
2020-07-29,1.47,0.164
2020-07-30,1.6,0.172
2020-07-31,NA,NA
2020-08-01,1.32,0.0891
2020-08-02,NA,NA
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.786,0.0589
2020-08-06,1.03,0.19
2020-08-07,1.1,0.196
2020-08-08,1.17,0.201
2020-08-09,0.95,0.0738
2020-08-10,NA,NA
2020-08-11,0.843,0.12
2020-08-12,1.06,0.273
2020-08-13,1.06,0.216
2020-08-14,1.15,0.291
2020-08-15,1.24,0.206
2020-08-16,1.11,0.0803
2020-08-17,1.03,0.0672
2020-08-18,NA,NA
2020-08-19,1.16,0.24
2020-08-20,0.787,0.0873
2020-08-21,0.895,0.186
2020-08-22,0.819,0.085
2020-08-23,0.762,0.0475
2020-08-24,0.867,0.105
2020-08-25,NA,NA
2020-08-26,0.996,0.26
2020-08-27,0.946,0.145
2020-08-28,1.5,0.524
2020-08-29,1.95,0.619
2020-08-30,1.26,0.158
2020-08-31,1.2,0.206
2020-09-01,1.21,0.213
2020-09-02,1.18,0.344
2020-09-03,1.07,0.134
2020-09-04,1.53,0.426
2020-09-05,1.71,0.484
2020-09-06,1.58196158940761,0.397381817802728
2020-09-08,1.2017693926457,0.245254735589358
2020-09-09,1.2071532004328,0.230983570022321
2020-09-10,1.25425216222518,0.256462812077176
2020-09-11,1.24708293662523,0.272491486082319
2020-09-12,1.16600899748002,0.304959225150518
2020-09-13,1.23652168179006,0.309046105099734
2020-09-15,1.59008631707436,0.518173614209411
2020-09-16,2.07259766184032,0.929451289266463
2020-09-17,2.02830867801448,0.651935879902518
2020-09-18,1.9807568059402,0.612065311505505
2020-09-19,1.80660205583204,0.346723989660978
2020-09-20,1.35249882416874,0.210527301669144
2020-09-21,1.5041195351176,0.427063044888276
2020-09-23,1.92126770345274,0.665791930019694
2020-09-24,1.44467658677979,0.306257674192354
2020-09-25,1.33845944457099,0.259969811704186
2020-09-26,1.31067969380048,0.227537125386372
2020-09-27,1.31694959566971,0.244896917684859
2020-09-19,1.80660205583204,0.346723989660978
2020-09-20,1.35249882416874,0.210527301669144
2020-09-21,1.5041195351176,0.427063044888276
2020-09-23,1.92126770345274,0.665791930019694
2020-09-24,1.44467658677979,0.306257674192354
2020-09-25,1.33845944457099,0.259969811704186
2020-09-26,1.31067969380048,0.227537125386372
2020-09-27,1.31694959566971,0.244896917684859
2020-09-30,1.34498498379366,0.395724776146769
2020-10-01,1.33493694626995,0.354813693547315
2020-10-02,1.45372399787191,0.413491314359712
2020-10-03,1.42299788516962,0.252122188102095
2020-10-04,1.73448224945849,0.565194172164449
2020-10-05,1.37742513620841,0.245282967359616
2020-10-06,1.54553581921608,0.468140509306723
2020-10-07,1.3261725433786,0.269152201923899
2020-10-08,1.85720833283126,0.661147924828006
2020-10-09,1.34757061738828,0.252044979323238
2020-10-10,2.25563390139441,0.907979023773218
