"days","R_p","sd_p"
2020-07-15,1.064369,0.06530044
2020-07-16,1.06,0.0566
2020-07-17,1.04,0.05
2020-07-18,1.25,0.075
2020-07-19,1.08,0.0601
2020-07-20,1.01,0.056
2020-07-21,1.02,0.0545
2020-07-22,1.03,0.0568
2020-07-23,1.02,0.0542
2020-07-24,1.01,0.0489
2020-07-25,0.924,0.0537
2020-07-26,0.933,0.0535
2020-07-27,0.953,0.0536
2020-07-28,0.972,0.0519
2020-07-29,0.993,0.0561
2020-07-30,1.06,0.0638
2020-07-31,0.962,0.0497
2020-08-01,0.964,0.0525
2020-08-02,0.974,0.0555
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.02,0.073
2020-08-06,0.971,0.0663
2020-08-07,0.964,0.0572
2020-08-08,1.11,0.0974
2020-08-09,1.14,0.0975
2020-08-10,1.06,0.0808
2020-08-11,1.03,0.0669
2020-08-12,1.04,0.0742
2020-08-13,1.03,0.0649
2020-08-14,1.06,0.0596
2020-08-15,1.08,0.0884
2020-08-16,1.12,0.0962
2020-08-17,1.01,0.0693
2020-08-18,1.01,0.0696
2020-08-19,1.02,0.0648
2020-08-20,0.998,0.0612
2020-08-21,1,0.054
2020-08-22,1.09,0.0866
2020-08-23,1.03,0.0727
2020-08-24,1.01,0.0669
2020-08-25,0.982,0.0734
2020-08-26,0.938,0.0605
2020-08-27,0.964,0.0581
2020-08-28,0.987,0.0525
2020-08-29,1.04,0.0725
2020-08-30,1.08,0.0905
2020-08-31,1.04,0.0741
2020-09-01,1.02,0.063
2020-09-02,0.898,0.0503
2020-09-03,0.898,0.0503
2020-09-04,1.02,0.0685
2020-09-05,1.1,0.121
2020-09-06,1.05,0.122
2020-09-07,1.01305813476837,0.101865048258052
2020-09-08,1.04561743373368,0.0958183925202455
2020-09-09,1.05614327657762,0.0974319719167833
2020-09-10,0.930767980369185,0.0643198140746907
2020-09-11,0.972730965162648,0.0636424611036887
2020-09-12,1.11583797388975,0.128951644943326
2020-09-13,1.06645740963382,0.115074255523135
2020-09-14,0.921018287769201,0.071946246183563
2020-09-15,0.977640610960097,0.11466281315414
2020-09-16,1.20282508235327,0.177249052682112
2020-09-17,1.21149667975753,0.126479981769999
2020-09-18,1.15723522987302,0.0867774332934948
2020-09-19,1.25739754757803,0.145922836995363
2020-09-20,1.19231970022154,0.126810241920958
2020-09-21,1.18346912871703,0.114416142258792
2020-09-22,1.13194878524582,0.10385178761327
2020-09-23,1.13644897650194,0.105805644101971
2020-09-24,1.17495934406089,0.112380033547061
2020-09-25,1.1159365837939,0.105067692880924
2020-09-26,1.21567357246594,0.15370101030252
2020-09-27,1.29395162598628,0.165630222808014
2020-09-28,1.19521334263883,0.125685275199583
2020-09-19,1.25739754757803,0.145922836995363
2020-09-20,1.19231970022154,0.126810241920958
2020-09-21,1.18346912871703,0.114416142258792
2020-09-22,1.13194878524582,0.10385178761327
2020-09-23,1.13644897650194,0.105805644101971
2020-09-24,1.17495934406089,0.112380033547061
2020-09-25,1.1159365837939,0.105067692880924
2020-09-26,1.21567357246594,0.15370101030252
2020-09-27,1.29395162598628,0.165630222808014
2020-09-28,1.19521334263883,0.125685275199583
2020-09-30,1.1665059221257,0.114218050062478
2020-10-01,1.13036343568724,0.0955420028495041
2020-10-02,1.09289501635309,0.0806046168804013
2020-10-03,1.23718545049756,0.155059668484814
2020-10-04,1.21770630876885,0.148884818052125
2020-10-05,1.2426037875948,0.150148269716955
2020-10-06,1.04985384096957,0.109480292155941
2020-10-07,1.12026084340123,0.121182469104222
2020-10-08,1.17892256475919,0.118113983674631
2020-10-09,1.20124523960467,0.115204513545197
2020-10-10,1.2910410039239,0.181245662216917
2020-10-11,1.29951820603026,0.17582865426629
