"days","R_p","sd_p"
2020-07-18,1.25,0.075
2020-07-19,1.17,0.0618
2020-07-20,0.972,0.0433
2020-07-21,0.969,0.0405
2020-07-22,1.05,0.0512
2020-07-23,1.05,0.051
2020-07-24,1.12,0.0573
2020-07-25,1.03,0.0586
2020-07-26,1.04,0.0589
2020-07-27,1.06,0.0517
2020-07-28,1.12,0.0537
2020-07-29,1.09,0.0538
2020-07-30,1.09,0.0535
2020-07-31,NA,NA
2020-08-01,1.13,0.0628
2020-08-02,1.04,0.054
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.912,0.0475
2020-08-06,0.993,0.0791
2020-08-07,1.06,0.0889
2020-08-08,1.19,0.119
2020-08-09,1.24,0.113
2020-08-10,1.18,0.088
2020-08-11,1.07,0.059
2020-08-12,0.981,0.0498
2020-08-13,1.05,0.0712
2020-08-14,1.05,0.0747
2020-08-15,1.05,0.087
2020-08-16,1.12,0.101
2020-08-17,1.09,0.0915
2020-08-18,1.08,0.0696
2020-08-19,0.94,0.0531
2020-08-20,1.05,0.0721
2020-08-21,1.03,0.063
2020-08-22,0.981,0.0625
2020-08-23,0.987,0.0728
2020-08-24,0.92,0.0584
2020-08-25,0.986,0.0753
2020-08-26,0.913,0.0575
2020-08-27,0.991,0.062
2020-08-28,1.03,0.0727
2020-08-29,1.18,0.101
2020-08-30,1.23,0.0964
2020-08-31,1.04,0.068
2020-09-01,1.02,0.059
2020-09-02,0.953,0.0521
2020-09-03,NA,NA
2020-09-04,1.06,0.114
2020-09-05,1.15,0.153
2020-09-06,1.1,0.142
2020-09-07,1.1915110821082,0.130837441941056
2020-09-08,1.05740920356892,0.0867243248934576
2020-09-09,0.926125305599685,0.0667050561009149
2020-09-10,1.15046891798541,0.133063470848223
2020-09-11,0.994472704058622,0.0904917871555894
2020-09-12,1.0499090900316,0.130708228741026
2020-09-13,1.01813753753547,0.131709496137391
2020-09-14,1.05586438195377,0.135676404730625
2020-09-15,0.978692756079771,0.0981693717038484
2020-09-16,0.962081587609625,0.0860411436964268
2020-09-17,1.0184586394217,0.104340439059991
2020-09-18,1.22267091491192,0.197508272348277
2020-09-19,1.2461755966355,0.165813843170411
2020-09-20,1.20070301154837,0.135295490823688
2020-09-21,1.12844478947792,0.104801739886449
2020-09-22,1.13536004000149,0.089385900004887
2020-09-23,1.06753737828582,0.089577504258238
2020-09-24,1.17148462955591,0.118669705067894
2020-09-25,1.15274725702481,0.124357745231586
2020-09-26,1.3327070679609,0.213552616248296
2020-09-27,1.20255064197522,0.131160687592609
2020-09-28,1.28812509874446,0.160060261380979
2020-09-19,1.2461755966355,0.165813843170411
2020-09-20,1.20070301154837,0.135295490823688
2020-09-21,1.12844478947792,0.104801739886449
2020-09-22,1.13536004000149,0.089385900004887
2020-09-23,1.06753737828582,0.089577504258238
2020-09-24,1.17148462955591,0.118669705067894
2020-09-25,1.15274725702481,0.124357745231586
2020-09-26,1.3327070679609,0.213552616248296
2020-09-27,1.20255064197522,0.131160687592609
2020-09-28,1.28812509874446,0.160060261380979
2020-09-30,0.950393004714308,0.0619570788299631
2020-10-01,1.09169625635082,0.0982333590090038
2020-10-02,1.19721399829802,0.116028227062878
2020-10-03,1.32762664774251,0.200380385208079
2020-10-04,1.33746240890344,0.141639083462166
2020-10-05,1.22940803096047,0.126321392221415
2020-10-06,1.09811572750804,0.0872038097544621
2020-10-07,1.24395426095246,0.150179414548819
2020-10-08,1.32694571350163,0.213592520453858
2020-10-09,1.2717990660482,0.157317851214954
2020-10-10,1.25036443700253,0.195265811612012
2020-10-11,1.13648834316054,0.12768225218793
