"days","R_p","sd_p"
2020-07-16,1.096036,0.1404208
2020-07-17,1.05,0.0779
2020-07-18,1.01,0.0704
2020-07-19,1.06,0.065
2020-07-20,1.02,0.0593
2020-07-21,1,0.0502
2020-07-22,1.02,0.0577
2020-07-23,1.09,0.0854
2020-07-24,1.05,0.0656
2020-07-25,0.945,0.0549
2020-07-26,0.96,0.0547
2020-07-27,0.978,0.0548
2020-07-28,0.913,0.0395
2020-07-29,0.94,0.0454
2020-07-30,0.902,0.0613
2020-07-31,NA,NA
2020-08-01,0.945,0.0552
2020-08-02,0.94,0.0518
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.959,0.108
2020-08-06,0.0613,0.141
2020-08-07,1.11,0.209
2020-08-08,1.21,0.242
2020-08-09,1.15,0.159
2020-08-10,1.1,0.134
2020-08-11,1.1,0.134
2020-08-12,1.02,0.112
2020-08-13,1.04,0.149
2020-08-14,1.09,0.157
2020-08-15,0.929,0.122
2020-08-16,0.827,0.0699
2020-08-17,0.957,0.112
2020-08-18,0.962,0.0881
2020-08-19,0.844,0.0493
2020-08-20,0.789,0.0552
2020-08-21,0.924,0.0916
2020-08-22,1.01,0.112
2020-08-23,0.961,0.0943
2020-08-24,0.957,0.085
2020-08-25,0.876,0.0653
2020-08-26,0.926,0.0989
2020-08-27,1.09,0.166
2020-08-28,1.13,0.163
2020-08-29,1.19,0.201
2020-08-30,1.17,0.183
2020-08-31,1,0.0928
2020-09-01,0.87,0.0619
2020-09-02,0.952,0.0989
2020-09-03,NA,NA
2020-09-04,1.74,0.737
2020-09-05,1.98,0.926
2020-09-06,1.71,0.672
2020-09-07,1.6769166632765,0.582876004530195
2020-09-08,1.50990744517716,0.471062174488311
2020-09-09,1.31698908801835,0.322974206602268
2020-09-10,1.37042257160019,0.480753690591748
2020-09-11,1.58360287339312,0.612043052249678
2020-09-12,1.53878503852474,0.528145328342183
2020-09-13,1.20644816279531,0.269452985259432
2020-09-14,1.064330051486,0.198179218879547
2020-09-15,1.21390983204602,0.313693858282629
2020-09-16,1.27712389909654,0.405875725187929
2020-09-17,1.32764826201894,0.443500819258833
2020-09-18,1.52245016106419,0.550627946437229
2020-09-19,1.51685555165943,0.542703404334304
2020-09-20,1.49517070536071,0.496188861237187
2020-09-21,1.63549290648965,0.596578559077541
2020-09-22,1.29756308587402,0.275008525091946
2020-09-23,1.44736821639889,0.449940366772241
2020-09-24,1.64228605335023,0.712449585350669
2020-09-25,2.01233239707888,0.952278551429763
2020-09-26,1.86248152173829,0.725256145066837
2020-09-27,1.59580961295198,0.507643809435753
2020-09-28,1.90937937637424,0.726079935710597
2020-09-19,1.51685555165943,0.542703404334304
2020-09-20,1.49517070536071,0.496188861237187
2020-09-21,1.63549290648965,0.596578559077541
2020-09-22,1.29756308587402,0.275008525091946
2020-09-23,1.44736821639889,0.449940366772241
2020-09-24,1.64228605335023,0.712449585350669
2020-09-25,2.01233239707888,0.952278551429763
2020-09-26,1.86248152173829,0.725256145066837
2020-09-27,1.59580961295198,0.507643809435753
2020-09-28,1.90937937637424,0.726079935710597
2020-09-30,1.64673248483038,0.54005756103429
2020-10-01,1.71597674473867,0.658696715800265
2020-10-02,1.745792114834,0.703828845944217
2020-10-03,2.13202691243225,1.07621911955676
2020-10-04,2.10342497901399,0.931982326760046
2020-10-05,1.92961461822295,0.774164196723121
2020-10-06,1.37579773800151,0.566765310639941
2020-10-07,1.72822190924618,1.01378845189033
2020-10-08,1.78263950110562,1.17276372873175
2020-10-09,1.99114209600614,1.30380665528902
2020-10-10,1.84224801358307,1.03855658277249
2020-10-11,1.54119872053272,0.677533461833465
