"days","R_p","sd_p"
2020-07-16,1.089836,0.05206712
2020-07-17,1.13,0.0476
2020-07-18,1.11,0.0499
2020-07-19,1.09,0.0439
2020-07-20,0.991,0.0384
2020-07-21,0.984,0.0396
2020-07-22,0.93,0.0382
2020-07-23,0.991,0.0428
2020-07-24,0.965,0.0397
2020-07-25,0.923,0.0406
2020-07-26,0.937,0.0396
2020-07-27,0.957,0.0388
2020-07-28,0.986,0.0398
2020-07-29,0.993,0.0408
2020-07-30,1.08,0.0513
2020-07-31,NA,NA
2020-08-01,1.05,0.0442
2020-08-02,0.981,0.0388
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.898,0.0408
2020-08-06,0.923,0.0474
2020-08-07,0.932,0.051
2020-08-08,1.11,0.0824
2020-08-09,1.11,0.0612
2020-08-10,0.989,0.0477
2020-08-11,0.952,0.0458
2020-08-12,1.03,0.0638
2020-08-13,1.11,0.0775
2020-08-14,1,0.0554
2020-08-15,0.93,0.0551
2020-08-16,1.01,0.0619
2020-08-17,1.08,0.0641
2020-08-18,1.09,0.0597
2020-08-19,1.09,0.0637
2020-08-20,0.986,0.0493
2020-08-21,1,0.0503
2020-08-22,0.914,0.0427
2020-08-23,0.838,0.039
2020-08-24,0.848,0.0442
2020-08-25,0.855,0.0473
2020-08-26,0.887,0.0554
2020-08-27,0.979,0.0615
2020-08-28,1.06,0.0682
2020-08-29,0.935,0.0492
2020-08-30,0.93,0.0477
2020-08-31,0.824,0.037
2020-09-01,0.93,0.0548
2020-09-02,0.824,0.0421
2020-09-03,NA,NA
2020-09-04,1.14,0.138
2020-09-05,1.14,0.133
2020-09-06,1.06,0.0934
2020-09-07,1.12546750908794,0.138070218471258
2020-09-08,1.32760863168506,0.172241473413723
2020-09-09,1.16364224084605,0.118820255850652
2020-09-10,1.16375445299832,0.106113148597254
2020-09-11,1.10700730839672,0.0920380784087138
2020-09-12,1.19969741724292,0.135085044767229
2020-09-13,1.30125253134745,0.156036485559918
2020-09-14,1.01941388020485,0.0742975374026769
2020-09-15,1.02974140791134,0.0991922761284995
2020-09-16,1.29458464221122,0.198065730336398
2020-09-17,1.45448568761942,0.205520756641145
2020-09-18,1.36493472370239,0.136480474000218
2020-09-19,1.33440433000673,0.153075146398356
2020-09-20,1.20381959167092,0.101805155429181
2020-09-21,1.19236087070675,0.102179653324897
2020-09-22,1.18362716076932,0.110477520218985
2020-09-23,1.11743548671518,0.112539594900791
2020-09-24,1.07485319927774,0.089081496222146
2020-09-25,1.19542286404886,0.142366026570453
2020-09-26,1.12047899796398,0.102255302965838
2020-09-27,1.07780274885879,0.094231982131335
2020-09-28,1.17673403733197,0.138550820048384
2020-09-19,1.33440433000673,0.153075146398356
2020-09-20,1.20381959167092,0.101805155429181
2020-09-21,1.19236087070675,0.102179653324897
2020-09-22,1.18362716076932,0.110477520218985
2020-09-23,1.11743548671518,0.112539594900791
2020-09-24,1.07485319927774,0.089081496222146
2020-09-25,1.19542286404886,0.142366026570453
2020-09-26,1.12047899796398,0.102255302965838
2020-09-27,1.07780274885879,0.094231982131335
2020-09-28,1.17673403733197,0.138550820048384
2020-09-30,1.08531206169151,0.111622754947408
2020-10-01,1.17488684914314,0.123436717167062
2020-10-02,1.42587051996888,0.209136458409493
2020-10-03,1.29075690916467,0.133564743464146
2020-10-04,1.27727063080122,0.133881166455431
2020-10-05,1.06494641271379,0.0688965456893409
2020-10-06,1.0568987715269,0.0887623849592716
2020-10-07,1.17522690301535,0.145922456997314
2020-10-08,1.27831310559913,0.169733557718536
2020-10-09,1.39557421592201,0.175277605735739
2020-10-10,1.3643026374034,0.172522861948986
2020-10-11,1.19711654241364,0.114477664615826
