"days","R_p","sd_p"
2020-07-15,1.072568,0.05159029
2020-07-16,1.06,0.053
2020-07-17,1.05,0.0492
2020-07-18,1.01,0.0508
2020-07-19,0.961,0.0437
2020-07-20,0.922,0.0398
2020-07-21,0.902,0.0384
2020-07-22,0.901,0.0408
2020-07-23,0.876,0.0387
2020-07-24,0.904,0.0424
2020-07-25,0.909,0.0487
2020-07-26,0.962,0.0479
2020-07-27,1.01,0.0485
2020-07-28,1.03,0.0456
2020-07-29,1,0.046
2020-07-30,1.07,0.0563
2020-07-31,NA,NA
2020-08-01,1.03,0.0552
2020-08-02,1.05,0.0548
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.09,0.0821
2020-08-06,1,0.072
2020-08-07,0.945,0.0627
2020-08-08,0.999,0.0882
2020-08-09,1.01,0.0792
2020-08-10,0.954,0.068
2020-08-11,0.931,0.0564
2020-08-12,0.891,0.048
2020-08-13,1.06,0.083
2020-08-14,1.08,0.0951
2020-08-15,1.13,0.118
2020-08-16,1.08,0.0896
2020-08-17,1.08,0.0892
2020-08-18,1.09,0.0867
2020-08-19,1.1,0.0944
2020-08-20,1.1,0.0873
2020-08-21,1.09,0.0885
2020-08-22,1.21,0.14
2020-08-23,1.19,0.111
2020-08-24,1.13,0.089
2020-08-25,1.1,0.0894
2020-08-26,1.04,0.0786
2020-08-27,1.05,0.0808
2020-08-28,1.11,0.0903
2020-08-29,1.12,0.117
2020-08-30,1.16,0.115
2020-08-31,1.12,0.0904
2020-09-01,1.1,0.0819
2020-09-02,1.07,0.0767
2020-09-03,NA,NA
2020-09-04,1.29,0.132
2020-09-05,1.27,0.146
2020-09-06,1.22,0.124
2020-09-07,1.23261488377278,0.129192142479218
2020-09-08,1.23090127491152,0.129541741220958
2020-09-09,1.14753303500159,0.0979573977669925
2020-09-10,1.09153603090093,0.0988728365666929
2020-09-11,1.15415719728565,0.120785375718689
2020-09-12,1.1946914495584,0.136132893568441
2020-09-13,1.2437491513262,0.137400240684194
2020-09-14,1.20935006437652,0.13295307938441
2020-09-15,1.2070856532622,0.138642394336059
2020-09-16,1.19628143329646,0.120862652910269
2020-09-17,1.27716977604096,0.139288494226129
2020-09-18,1.3261131218927,0.161246322249392
2020-09-19,1.40437311432845,0.173563033623747
2020-09-20,1.36146339920337,0.143044915338328
2020-09-21,1.3403216912215,0.141752600875459
2020-09-22,1.29872827804493,0.130875301923289
2020-09-23,1.24576608394241,0.125040729541707
2020-09-24,1.21857245927506,0.113715241267749
2020-09-25,1.21543487608779,0.130122557542872
2020-09-26,1.26489721103334,0.158643445188148
2020-09-27,1.26058619645244,0.139197833648449
2020-09-28,1.22072175251676,0.118922001133747
2020-09-19,1.40437311432845,0.173563033623747
2020-09-20,1.36146339920337,0.143044915338328
2020-09-21,1.3403216912215,0.141752600875459
2020-09-22,1.29872827804493,0.130875301923289
2020-09-23,1.24576608394241,0.125040729541707
2020-09-24,1.21857245927506,0.113715241267749
2020-09-25,1.21543487608779,0.130122557542872
2020-09-26,1.26489721103334,0.158643445188148
2020-09-27,1.26058619645244,0.139197833648449
2020-09-28,1.22072175251676,0.118922001133747
2020-09-30,1.13019946999575,0.110935528847457
2020-10-01,1.11362945892229,0.107472693128228
2020-10-02,1.18312287394627,0.12394858850298
2020-10-03,1.26087778649421,0.166493483308543
2020-10-04,1.24641931445374,0.143713469243647
2020-10-05,1.24322778850709,0.141680473750655
2020-10-06,1.20906917135476,0.126384182389967
2020-10-07,1.15414191192872,0.132640663835153
2020-10-08,1.23090416736247,0.157917465968743
2020-10-09,1.2130903360008,0.12380627666157
2020-10-10,1.21596560763502,0.157339643470689
2020-10-11,1.25047512410406,0.169283404562321
