"days","R_p","sd_p"
2020-07-15,0.9831948,0.05366809
2020-07-16,1.02,0.0526
2020-07-17,0.969,0.0447
2020-07-18,0.96,0.05
2020-07-19,1.01,0.0523
2020-07-20,0.991,0.0498
2020-07-21,0.962,0.0476
2020-07-22,0.941,0.0468
2020-07-23,0.948,0.0489
2020-07-24,0.912,0.0455
2020-07-25,0.91,0.0567
2020-07-26,0.961,0.0523
2020-07-27,0.973,0.0505
2020-07-28,0.962,0.0463
2020-07-29,0.94,0.0436
2020-07-30,0.975,0.0526
2020-07-31,NA,NA
2020-08-01,0.909,0.0538
2020-08-02,0.943,0.0531
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.01,0.0753
2020-08-06,0.991,0.0818
2020-08-07,1.02,0.0814
2020-08-08,1.15,0.112
2020-08-09,1.21,0.115
2020-08-10,1.04,0.075
2020-08-11,1.1,0.0845
2020-08-12,1.1,0.0832
2020-08-13,1.03,0.0739
2020-08-14,1.07,0.0835
2020-08-15,1.13,0.123
2020-08-16,1.15,0.114
2020-08-17,1.07,0.0812
2020-08-18,1.09,0.0874
2020-08-19,1.07,0.0807
2020-08-20,1.03,0.0662
2020-08-21,1.02,0.0733
2020-08-22,1.14,0.12
2020-08-23,1.05,0.0835
2020-08-24,1.09,0.0918
2020-08-25,1.12,0.0951
2020-08-26,1.01,0.0713
2020-08-27,1.01,0.0635
2020-08-28,1.06,0.0655
2020-08-29,1.18,0.129
2020-08-30,1.14,0.0963
2020-08-31,1.12,0.0892
2020-09-01,1.1,0.0712
2020-09-02,0.99,0.0639
2020-09-03,NA,NA
2020-09-04,1.23,0.12
2020-09-05,1.29,0.173
2020-09-06,1.3,0.203
2020-09-07,1.14758421404789,0.117261636216647
2020-09-08,1.35089797664135,0.175469412029985
2020-09-09,1.4036109136805,0.187950867416542
2020-09-10,1.13082819516805,0.0819731943035863
2020-09-11,1.2872488190399,0.148485879252912
2020-09-12,1.46789837011845,0.228535040548129
2020-09-13,1.34905791229524,0.178036100051424
2020-09-14,1.26494882305077,0.142008496193226
2020-09-15,1.33790829807314,0.186171726047105
2020-09-16,1.44612676829744,0.215630282064573
2020-09-17,1.5421160786519,0.199835236430947
2020-09-18,1.59695365255956,0.235544318396091
2020-09-19,1.7422844710006,0.307068545424001
2020-09-20,1.39800929635426,0.141955846195534
2020-09-21,1.30695614418695,0.133933761382776
2020-09-22,1.38141161417116,0.161064707629835
2020-09-23,1.27835877602829,0.125178278240887
2020-09-24,1.40351940213566,0.173164221841067
2020-09-25,1.18560803932593,0.104111948083504
2020-09-26,1.42243449453614,0.230477458901377
2020-09-27,1.36872096631456,0.192371724767108
2020-09-28,1.2372065191928,0.138711796799332
2020-09-19,1.7422844710006,0.307068545424001
2020-09-20,1.39800929635426,0.141955846195534
2020-09-21,1.30695614418695,0.133933761382776
2020-09-22,1.38141161417116,0.161064707629835
2020-09-23,1.27835877602829,0.125178278240887
2020-09-24,1.40351940213566,0.173164221841067
2020-09-25,1.18560803932593,0.104111948083504
2020-09-26,1.42243449453614,0.230477458901377
2020-09-27,1.36872096631456,0.192371724767108
2020-09-28,1.2372065191928,0.138711796799332
2020-09-30,1.23272083304943,0.130539578943558
2020-10-01,1.33656395804268,0.173066773001975
2020-10-02,1.17231872204378,0.110747174707996
2020-10-03,1.23976454621673,0.192318898550567
2020-10-04,1.33653033792816,0.234035530207707
2020-10-05,1.32796242079661,0.220239067134802
2020-10-06,1.28667290116094,0.190353311806377
2020-10-07,1.38107060365868,0.201160088847725
2020-10-08,1.47955760859789,0.228254632218522
2020-10-09,1.32987903135782,0.147577887194721
2020-10-10,1.50740826411488,0.294700582397392
2020-10-11,1.53240796720797,0.284921095014154
2020-10-23,1.33509359827582,0.265963412239142
