"days","R_p","sd_p"
2020-07-16,0.9696679,0.06950297
2020-07-17,0.984,0.0627
2020-07-18,0.998,0.0679
2020-07-19,1.01,0.0567
2020-07-20,0.941,0.0517
2020-07-21,1.04,0.066
2020-07-22,0.968,0.0649
2020-07-23,1.11,0.0826
2020-07-24,1.13,0.0796
2020-07-25,1.14,0.0884
2020-07-26,1.07,0.066
2020-07-27,1.09,0.058
2020-07-28,1.05,0.0573
2020-07-29,1.04,0.0619
2020-07-30,1.02,0.0725
2020-07-31,NA,NA
2020-08-01,0.962,0.068
2020-08-02,0.965,0.0603
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.951,0.0995
2020-08-06,1.01,0.126
2020-08-07,1.26,0.276
2020-08-08,1.22,0.198
2020-08-09,1.14,0.161
2020-08-10,1.02,0.115
2020-08-11,1.18,0.21
2020-08-12,0.908,0.0648
2020-08-13,1.15,0.223
2020-08-14,1.24,0.273
2020-08-15,1.17,0.193
2020-08-16,1.18,0.194
2020-08-17,0.975,0.105
2020-08-18,0.991,0.12
2020-08-19,1.14,0.223
2020-08-20,1.19,0.194
2020-08-21,1.03,0.165
2020-08-22,1.31,0.297
2020-08-23,1.56,0.375
2020-08-24,1.18,0.139
2020-08-25,1.08,0.159
2020-08-26,1.02,0.111
2020-08-27,0.991,0.115
2020-08-28,1.19,0.274
2020-08-29,0.924,0.115
2020-08-30,0.71,0.0661
2020-08-31,0.784,0.0898
2020-09-01,0.718,0.0533
2020-09-02,0.774,0.0488
2020-09-03,NA,NA
2020-09-04,1.92,0.708
2020-09-05,1.51,0.41
2020-09-06,1.37,0.398
2020-09-07,1.47951438037051,0.41174375866306
2020-09-08,1.12488624697592,0.164237812074457
2020-09-09,1.58413462938359,0.397304197689794
2020-09-10,1.26259246804933,0.277382035073508
2020-09-11,1.51287790046707,0.517384039768445
2020-09-12,1.50318631977127,0.376917979588891
2020-09-13,1.07882008591873,0.160970216000543
2020-09-14,1.50959393620815,0.518391385036496
2020-09-15,1.60037658580221,0.412506650126496
2020-09-16,1.81159674892848,0.588115783722057
2020-09-17,1.52593317485449,0.39787943892045
2020-09-18,2.51796339679624,1.09758184043555
2020-09-19,2.25190235390419,0.741540061306351
2020-09-20,1.58456166662915,0.327980636489601
2020-09-21,1.2757464203538,0.26218736034188
2020-09-22,1.76476830604971,0.545338566680074
2020-09-23,1.42390544849068,0.269722124142002
2020-09-24,1.65175783194752,0.538793795539386
2020-09-25,1.30523125247086,0.315586225340458
2020-09-26,1.57571970810431,0.474193476210349
2020-09-27,1.40305262761492,0.392186165488522
2020-09-28,1.53870230332988,0.46703673729754
2020-09-19,2.25190235390419,0.741540061306351
2020-09-20,1.58456166662915,0.327980636489601
2020-09-21,1.2757464203538,0.26218736034188
2020-09-22,1.76476830604971,0.545338566680074
2020-09-23,1.42390544849068,0.269722124142002
2020-09-24,1.65175783194752,0.538793795539386
2020-09-25,1.30523125247086,0.315586225340458
2020-09-26,1.57571970810431,0.474193476210349
2020-09-27,1.40305262761492,0.392186165488522
2020-09-28,1.53870230332988,0.46703673729754
2020-09-30,1.4602238833263,0.25853508989872
2020-10-01,1.53642551477078,0.326233635355023
2020-10-02,1.85318615971748,0.632143901248379
2020-10-03,1.77823841167785,0.60326233526543
2020-10-04,2.04707789868683,0.729060639292151
2020-10-05,1.45599372548367,0.313223428998622
2020-10-06,1.63098105525066,0.496351943507893
2020-10-07,1.32018072314743,0.2644460294694
2020-10-08,1.46523578200054,0.39561384315591
2020-10-09,1.64397241423976,0.564379655579722
2020-10-10,1.59105279764678,0.538788855123474
2020-10-11,1.75194211670375,0.70309189594531
2020-10-23,1.5054598714564,0.486179482672497
