"days","R_p","sd_p"
2020-07-15,0.8911233,0.0654159
2020-07-16,0.867,0.0601
2020-07-17,0.868,0.0612
2020-07-18,0.873,0.0789
2020-07-19,0.869,0.0698
2020-07-20,0.791,0.061
2020-07-21,0.782,0.0568
2020-07-22,0.797,0.0593
2020-07-23,0.835,0.0607
2020-07-24,0.813,0.058
2020-07-25,0.739,0.0599
2020-07-26,1.37,0.0686
2020-07-27,0.827,0.07
2020-07-28,0.874,0.0688
2020-07-29,0.979,0.0865
2020-07-30,1.11,0.113
2020-07-31,NA,NA
2020-08-01,1.17,0.129
2020-08-02,1.15,0.117
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.11,0.112
2020-08-06,1.03,0.11
2020-08-07,0.375,0.107
2020-08-08,1.03,0.123
2020-08-09,1,0.11
2020-08-10,1.01,0.115
2020-08-11,1.06,0.111
2020-08-12,1.03,0.101
2020-08-13,1.06,0.121
2020-08-14,1.11,0.121
2020-08-15,1.11,0.132
2020-08-16,1.18,0.145
2020-08-17,1.12,0.118
2020-08-18,1.1,0.102
2020-08-19,1.07,0.0999
2020-08-20,1.12,0.122
2020-08-21,1.18,0.134
2020-08-22,1.16,0.138
2020-08-23,1.12,0.119
2020-08-24,1.15,0.114
2020-08-25,1.08,0.101
2020-08-26,1.04,0.0953
2020-08-27,1.04,0.0915
2020-08-28,1.06,0.1
2020-08-29,1.08,0.114
2020-08-30,1.13,0.13
2020-08-31,1.11,0.113
2020-09-01,1.05,0.0897
2020-09-02,1.01,0.0873
2020-09-03,NA,NA
2020-09-04,1.13,0.12
2020-09-05,1.22,0.152
2020-09-06,1.19,0.151
2020-09-07,1.13691028973205,0.108566157536182
2020-09-08,1.10892835788732,0.0987108953818445
2020-09-09,1.10908113183675,0.115901463187642
2020-09-10,1.0111592205889,0.0984897843942427
2020-09-11,1.18541579632481,0.135143446402126
2020-09-12,1.22730544308361,0.146283107299163
2020-09-13,1.35876968426044,0.179152278115149
2020-09-14,1.37390878855782,0.169303670365642
2020-09-15,1.29904798488732,0.151436088991671
2020-09-16,1.20363287205084,0.127825876524475
2020-09-17,1.15773006319707,0.111432131276773
2020-09-18,1.3421485965414,0.144174444387035
2020-09-19,1.33016652528575,0.138905151640307
2020-09-20,1.33688970096136,0.132195870533475
2020-09-21,1.36400421930897,0.134599035992034
2020-09-22,1.23290219864756,0.100982286265927
2020-09-23,1.22722683996591,0.116724974756726
2020-09-24,1.3242288693352,0.161018367189348
2020-09-25,1.30218079565717,0.151330131163283
2020-09-26,1.29547499116685,0.154913512991638
2020-09-27,1.27311299534874,0.130737780999241
2020-09-28,1.167093026515,0.104959914235449
2020-09-19,1.33016652528575,0.138905151640307
2020-09-20,1.33688970096136,0.132195870533475
2020-09-21,1.36400421930897,0.134599035992034
2020-09-22,1.23290219864756,0.100982286265927
2020-09-23,1.22722683996591,0.116724974756726
2020-09-24,1.3242288693352,0.161018367189348
2020-09-25,1.30218079565717,0.151330131163283
2020-09-26,1.29547499116685,0.154913512991638
2020-09-27,1.27311299534874,0.130737780999241
2020-09-28,1.167093026515,0.104959914235449
2020-09-30,1.20711752219788,0.132946384203383
2020-10-01,1.20458212589218,0.131215796411447
2020-10-02,1.25896898060009,0.139591138982426
2020-10-03,1.44276463906055,0.205508422886776
2020-10-04,1.32021260254981,0.150241929625328
2020-10-05,1.39186615101452,0.144653028145554
2020-10-06,1.20066261697615,0.1011712484376
2020-10-07,1.19168792477388,0.104043451879859
2020-10-08,1.26902279179475,0.127805700552913
2020-10-09,1.33720380674796,0.140465148424341
2020-10-10,1.26795986326287,0.135342616328403
2020-10-11,1.23701035543648,0.117914812456211
