"days","R_p","sd_p"
2020-07-15,0.9084514,0.05103443
2020-07-16,1.02,0.0716
2020-07-17,1.07,0.0716
2020-07-18,1.12,0.0757
2020-07-19,1.03,0.0594
2020-07-20,1.02,0.0592
2020-07-21,1,0.0539
2020-07-22,0.987,0.0488
2020-07-23,1,0.0589
2020-07-24,0.983,0.0616
2020-07-25,0.935,0.0589
2020-07-26,1.02,0.0645
2020-07-27,0.998,0.0577
2020-07-28,0.939,0.0449
2020-07-29,0.979,0.0549
2020-07-30,1.03,0.0656
2020-07-31,NA,NA
2020-08-01,0.977,0.0566
2020-08-02,0.93,0.0615
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.1,0.115
2020-08-06,1.03,0.0989
2020-08-07,1.12,0.153
2020-08-08,1.1,0.133
2020-08-09,1.13,0.139
2020-08-10,1.1,0.133
2020-08-11,0.968,0.0829
2020-08-12,1.01,0.106
2020-08-13,1.15,0.163
2020-08-14,1.13,0.148
2020-08-15,1.15,0.161
2020-08-16,1.23,0.167
2020-08-17,1.14,0.13
2020-08-18,1.19,0.136
2020-08-19,1.18,0.117
2020-08-20,1.12,0.12
2020-08-21,1.42,0.25
2020-08-22,1.3,0.151
2020-08-23,1.26,0.148
2020-08-24,1.13,0.111
2020-08-25,0.953,0.0752
2020-08-26,1.06,0.106
2020-08-27,1.12,0.128
2020-08-28,1.03,0.113
2020-08-29,1.08,0.134
2020-08-30,1.06,0.121
2020-08-31,0.95,0.0831
2020-09-01,0.925,0.0721
2020-09-02,0.933,0.09
2020-09-03,NA,NA
2020-09-04,1.43,0.391
2020-09-05,1.36,0.304
2020-09-06,1.37,0.345
2020-09-07,1.30975629708021,0.338113745210586
2020-09-08,1.07892668306523,0.184242678377312
2020-09-09,1.09615923157569,0.212341397360316
2020-09-10,0.911374752195779,0.139773081524666
2020-09-11,1.21380430552179,0.391077359520689
2020-09-12,1.22618370664577,0.331674598418968
2020-09-13,1.57177216500612,0.511476482398798
2020-09-14,1.40687471471945,0.383117910957791
2020-09-15,1.26740262228299,0.274666760302078
2020-09-16,1.20990773370327,0.258491618095757
2020-09-17,1.57805765166065,0.467117621955796
2020-09-18,1.67313740236613,0.512346097991939
2020-09-19,1.62226020752936,0.363810423069961
2020-09-20,1.37231865274545,0.257703124741232
2020-09-21,1.27337438606871,0.202918947402229
2020-09-22,1.31798546950967,0.281136195350199
2020-09-23,1.40704629337237,0.354943280141802
2020-09-24,1.34667944878786,0.296966036944769
2020-09-25,1.34457104618631,0.3292251815144
2020-09-26,1.53974678940298,0.462915456915552
2020-09-27,1.58821211269473,0.443870401276434
2020-09-28,1.44978205198714,0.325208192979092
2020-09-19,1.62226020752936,0.363810423069961
2020-09-20,1.37231865274545,0.257703124741232
2020-09-21,1.27337438606871,0.202918947402229
2020-09-22,1.31798546950967,0.281136195350199
2020-09-23,1.40704629337237,0.354943280141802
2020-09-24,1.34667944878786,0.296966036944769
2020-09-25,1.34457104618631,0.3292251815144
2020-09-26,1.53974678940298,0.462915456915552
2020-09-27,1.58821211269473,0.443870401276434
2020-09-28,1.44978205198714,0.325208192979092
2020-09-30,1.22064876226061,0.240298882747046
2020-10-01,1.10293159782092,0.19261832082292
2020-10-02,0.943452864014526,0.149986394633767
2020-10-03,0.950741718005427,0.226787930749573
2020-10-04,0.935072105639145,0.190233868909962
2020-10-05,1.14395588413688,0.262643450314738
2020-10-06,0.934007240768263,0.153484311698745
2020-10-07,0.997097532124353,0.218973566584584
2020-10-08,1.20020280089893,0.390121324253485
2020-10-09,1.07944411181906,0.238710389543255
2020-10-10,1.20855012910073,0.395177989698362
2020-10-11,1.11270916182874,0.202772166590174
2020-10-23,1.44067844070463,0.636670074707021
