"days","R_p","sd_p"
2020-07-15,0.9673166,0.04647862
2020-07-16,0.97,0.043
2020-07-17,1.02,0.0452
2020-07-18,1.05,0.0514
2020-07-19,1,0.0451
2020-07-20,0.961,0.0425
2020-07-21,0.916,0.0413
2020-07-22,0.923,0.0402
2020-07-23,0.975,0.0457
2020-07-24,1.04,0.0519
2020-07-25,0.987,0.0521
2020-07-26,0.984,0.0468
2020-07-27,1.08,0.0552
2020-07-28,1.11,0.0551
2020-07-29,1.09,0.0541
2020-07-30,1.09,0.0562
2020-07-31,NA,NA
2020-08-01,1.04,0.0581
2020-08-02,0.985,0.0472
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.03,0.065
2020-08-06,1.09,0.0734
2020-08-07,1.09,0.0714
2020-08-08,0.99,0.0586
2020-08-09,1.02,0.054
2020-08-10,0.976,0.0504
2020-08-11,0.963,0.0479
2020-08-12,1.07,0.0689
2020-08-13,1.01,0.0617
2020-08-14,1.03,0.0644
2020-08-15,0.962,0.063
2020-08-16,1.06,0.0691
2020-08-17,1.01,0.0531
2020-08-18,0.99,0.0561
2020-08-19,0.965,0.0553
2020-08-20,0.983,0.0665
2020-08-21,0.948,0.0558
2020-08-22,1.04,0.0748
2020-08-23,1.04,0.069
2020-08-24,1.01,0.0572
2020-08-25,0.959,0.0746
2020-08-26,1,0.0697
2020-08-27,1.01,0.073
2020-08-28,1.17,0.085
2020-08-29,1.12,0.0779
2020-08-30,1.05,0.0659
2020-08-31,1.04,0.0587
2020-09-01,0.922,0.0476
2020-09-02,0.886,0.0525
2020-09-03,NA,NA
2020-09-04,0.972,0.0821
2020-09-05,1.05,0.109
2020-09-06,0.941,0.0748
2020-09-07,0.956623438961384,0.085977400485804
2020-09-08,1.0217530958544,0.0896915407694815
2020-09-09,0.950504796972111,0.0650693559831999
2020-09-10,0.965953749221069,0.0906932540353601
2020-09-11,0.922258724728042,0.0683481014626205
2020-09-12,0.951139909865753,0.0878020925772979
2020-09-13,0.975258076396871,0.0894698285580533
2020-09-14,1.00724566513544,0.0902463780247092
2020-09-15,0.929204826773611,0.0768136383799428
2020-09-16,1.16101323997275,0.122224544734682
2020-09-17,1.21860966508795,0.113918326822186
2020-09-18,1.42237989686044,0.153970686629006
2020-09-19,1.31836121315584,0.105718904985439
2020-09-20,1.30726007004507,0.131089353721741
2020-09-21,1.12026244972047,0.070292581893015
2020-09-22,1.15166246347623,0.086249923600071
2020-09-23,1.15858981098226,0.10740524879982
2020-09-24,1.15581609549949,0.104488476681865
2020-09-25,1.07859924581059,0.08792802809809
2020-09-26,1.14473360728063,0.104818536477216
2020-09-27,1.15806370581386,0.11004637938277
2020-09-28,1.21044582710641,0.111191010755867
2020-09-19,1.31836121315584,0.105718904985439
2020-09-20,1.30726007004507,0.131089353721741
2020-09-21,1.12026244972047,0.070292581893015
2020-09-22,1.15166246347623,0.086249923600071
2020-09-23,1.15858981098226,0.10740524879982
2020-09-24,1.15581609549949,0.104488476681865
2020-09-25,1.07859924581059,0.08792802809809
2020-09-26,1.14473360728063,0.104818536477216
2020-09-27,1.15806370581386,0.11004637938277
2020-09-28,1.21044582710641,0.111191010755867
2020-09-30,1.201723477314,0.103487329142624
2020-10-01,1.14071502463344,0.0853937298027646
2020-10-02,1.18748628445542,0.0884754802547513
2020-10-03,1.29299278178589,0.132557488194339
2020-10-04,1.22725342946569,0.101781220717506
2020-10-05,1.28610640485835,0.118962271292793
2020-10-06,1.24763936568646,0.114466872494618
