"days","R_p","sd_p"
2020-07-16,1.219594,0.3255572
2020-07-17,1.17,0.219
2020-07-18,1.22,0.253
2020-07-19,1.14,0.165
2020-07-20,0.964,0.109
2020-07-21,0.899,0.082
2020-07-22,1.04,0.143
2020-07-23,1.26,0.31
2020-07-24,1.2,0.245
2020-07-25,1.03,0.174
2020-07-26,1.07,0.165
2020-07-27,1.07,0.142
2020-07-28,1.11,0.159
2020-07-29,1.13,0.176
2020-07-30,1.14,0.215
2020-07-31,NA,NA
2020-08-01,0.985,0.138
2020-08-02,1.19,0.215
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.25,0.274
2020-08-06,1.24,0.375
2020-08-07,1.63,0.529
2020-08-08,1.27,0.285
2020-08-09,1.16,0.226
2020-08-10,1.04,0.201
2020-08-11,1.61,0.545
2020-08-12,1.25,0.235
2020-08-13,1.29,0.27
2020-08-14,1.46,0.328
2020-08-15,1.73,0.576
2020-08-16,1.69,0.533
2020-08-17,1.23,0.214
2020-08-18,1.23,0.242
2020-08-19,1.43,0.364
2020-08-20,1.48,0.398
2020-08-21,1.47,0.376
2020-08-22,1.61,0.462
2020-08-23,1.41,0.347
2020-08-24,1.55,0.383
2020-08-25,1.27,0.24
2020-08-26,1.45,0.348
2020-08-27,1.44,0.399
2020-08-28,1.91,0.69
2020-08-29,2.06,0.743
2020-08-30,1.66,0.457
2020-08-31,1.29,0.214
2020-09-01,1.34,0.269
2020-09-02,1.37,0.366
2020-09-03,NA,NA
2020-09-04,1.67,0.38
2020-09-05,2.03,0.769
2020-09-06,1.86,0.575
2020-09-07,1.49558133498327,0.262606549785575
2020-09-08,1.81887175545724,0.520543171818762
2020-09-09,1.37798277318187,0.256726708690172
2020-09-10,1.11736728273298,0.181396137479569
2020-09-11,1.29022216195711,0.188688817583383
2020-09-12,1.71518842032646,0.58295662914989
2020-09-13,1.87087304622904,0.517245640005742
2020-09-14,1.42602063030707,0.261992420887751
2020-09-15,1.31144590699215,0.205904332219052
2020-09-16,1.6686317917294,0.407491487823677
2020-09-17,1.6099182615899,0.390876277788085
2020-09-18,2.11970141449413,0.645625403574781
2020-09-19,2.03604542147457,0.496129436581413
2020-09-20,1.73488780825072,0.346060533448752
2020-09-21,1.53155803053907,0.28606721265071
2020-09-22,1.52262926433283,0.270012746513887
2020-09-23,1.40880705425498,0.25661515147884
2020-09-24,1.69367665930071,0.431339872697158
2020-09-25,1.78046924585498,0.481811429175923
2020-09-26,2.06107222690935,0.672341031478892
2020-09-27,1.50559026093575,0.270298378932148
2020-09-28,1.70205489800855,0.460614072506858
2020-09-19,2.03604542147457,0.496129436581413
2020-09-20,1.73488780825072,0.346060533448752
2020-09-21,1.53155803053907,0.28606721265071
2020-09-22,1.52262926433283,0.270012746513887
2020-09-23,1.40880705425498,0.25661515147884
2020-09-24,1.69367665930071,0.431339872697158
2020-09-25,1.78046924585498,0.481811429175923
2020-09-26,2.06107222690935,0.672341031478892
2020-09-27,1.50559026093575,0.270298378932148
2020-09-28,1.70205489800855,0.460614072506858
2020-09-30,1.73688190396238,0.501046781798206
2020-10-01,1.5887357248436,0.361842886245965
2020-10-02,1.57217452005601,0.376541544185241
2020-10-03,1.94999498061658,0.613842960128917
2020-10-04,1.86920664354116,0.447273358381387
2020-10-05,1.78041141691628,0.357258475103447
2020-10-06,1.50309022738568,0.351243861886555
2020-10-07,1.73112763303172,0.531078618716241
2020-10-08,1.70781819293997,0.479479257252416
2020-10-09,1.70787671713376,0.500280528615152
2020-10-10,2.12373046441031,0.808371793606725
2020-10-11,1.95411687089311,0.612105605309495
2020-10-23,1.69484506961487,0.711830777012044
