"days","R_p","sd_p"
2020-07-15,0.7102885,0.02605711
2020-07-16,0.719,0.0255
2020-07-17,0.774,0.0284
2020-07-18,0.698,0.0259
2020-07-19,0.713,0.0262
2020-07-20,0.695,0.0255
2020-07-21,0.666,0.0242
2020-07-22,0.651,0.0236
2020-07-23,0.753,0.029
2020-07-24,0.74,0.0287
2020-07-25,0.772,0.0342
2020-07-26,0.789,0.0346
2020-07-27,0.784,0.0324
2020-07-28,0.834,0.0355
2020-07-29,0.779,0.0341
2020-07-30,0.802,0.0417
2020-07-31,NA,NA
2020-08-01,0.86,0.0464
2020-08-02,0.79,0.0431
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.71,0.0438
2020-08-06,0.693,0.0637
2020-08-07,0.749,0.0949
2020-08-08,0.765,0.0941
2020-08-09,0.826,0.114
2020-08-10,0.901,0.142
2020-08-11,0.845,0.14
2020-08-12,0.771,0.095
2020-08-13,0.784,0.128
2020-08-14,1.03,0.248
2020-08-15,1.06,0.294
2020-08-16,1.08,0.302
2020-08-17,1.11,0.309
2020-08-18,1.09,0.305
2020-08-19,0.96,0.222
2020-08-20,0.891,0.199
2020-08-21,0.861,0.129
2020-08-22,1.1,0.377
2020-08-23,1.16,0.446
2020-08-24,0.966,0.207
2020-08-25,0.814,0.169
2020-08-26,0.852,0.204
2020-08-27,1.11,0.453
2020-08-28,1.38,0.599
2020-08-29,1.3,0.43
2020-08-30,1.6,0.731
2020-08-31,1.31,0.403
2020-09-01,1.07,0.2
2020-09-02,0.957,0.175
2020-09-03,NA,NA
2020-09-04,1.68,0.792
2020-09-05,1.6,0.686
2020-09-06,1.52,0.667
2020-09-07,1.39843960740561,0.463760311311826
2020-09-08,1.20094142872053,0.295427493938988
2020-09-09,1.31073629644497,0.477177776910349
2020-09-10,1.1920408585015,0.371347023838414
2020-09-11,1.57433687985929,0.772402730403683
2020-09-12,1.33692889759981,0.472592810484819
2020-09-13,1.19092494916083,0.40733532372973
2020-09-14,1.22088224711539,0.385899491873357
2020-09-15,1.42384009104017,0.606692250240813
2020-09-16,1.36481466922089,0.522916871940554
2020-09-17,1.27396813509042,0.451386109764575
2020-09-18,1.46769690427832,0.525615160298408
2020-09-19,1.58549089450519,0.662883273094166
2020-09-20,1.71120127342327,0.695776138791682
2020-09-21,1.62807638178312,0.530791675182069
2020-09-22,1.27030111511318,0.320423944599952
2020-09-23,1.12161901960967,0.257295648978686
2020-09-24,1.11806109347187,0.313379658021587
2020-09-25,1.25585297982355,0.426686918956421
2020-09-26,1.56334372272391,0.652564078039893
2020-09-27,1.2190554748951,0.311973983712917
2020-09-28,1.57886775793162,0.648035955673176
2020-09-19,1.58549089450519,0.662883273094166
2020-09-20,1.71120127342327,0.695776138791682
2020-09-21,1.62807638178312,0.530791675182069
2020-09-22,1.27030111511318,0.320423944599952
2020-09-23,1.12161901960967,0.257295648978686
2020-09-24,1.11806109347187,0.313379658021587
2020-09-25,1.25585297982355,0.426686918956421
2020-09-26,1.56334372272391,0.652564078039893
2020-09-27,1.2190554748951,0.311973983712917
2020-09-28,1.57886775793162,0.648035955673176
2020-09-30,1.48753542881395,0.620137337714432
2020-10-01,1.30719991909626,0.357846763246316
2020-10-02,1.32772484147897,0.355781479540726
2020-10-03,2.14339485096166,1.25375802423021
2020-10-04,1.58221765836897,0.515842998088299
2020-10-05,1.56542134951495,0.580122940958661
2020-10-06,1.46851975680775,0.67206443286514
