"days","R_p","sd_p"
2020-07-16,0.934314,0.05298419
2020-07-17,0.915,0.0444
2020-07-18,0.942,0.0517
2020-07-19,0.862,0.0416
2020-07-20,0.847,0.0443
2020-07-21,0.88,0.0463
2020-07-22,0.883,0.0457
2020-07-23,0.936,0.0543
2020-07-24,0.937,0.0486
2020-07-25,0.906,0.0584
2020-07-26,0.948,0.055
2020-07-27,0.943,0.0487
2020-07-28,0.932,0.0496
2020-07-29,0.958,0.0528
2020-07-30,0.974,0.0652
2020-07-31,NA,NA
2020-08-01,0.948,0.0522
2020-08-02,0.907,0.0456
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.983,0.0932
2020-08-06,0.907,0.0985
2020-08-07,0.957,0.122
2020-08-08,1.1,0.159
2020-08-09,1.1,0.122
2020-08-10,1.07,0.113
2020-08-11,1.11,0.112
2020-08-12,1.04,0.0881
2020-08-13,1.26,0.184
2020-08-14,1.2,0.115
2020-08-15,1.1,0.119
2020-08-16,1.05,0.0999
2020-08-17,1.05,0.116
2020-08-18,1.19,0.159
2020-08-19,1.15,0.127
2020-08-20,0.991,0.0842
2020-08-21,1.16,0.133
2020-08-22,1.27,0.176
2020-08-23,1.37,0.19
2020-08-24,1.38,0.174
2020-08-25,1.23,0.16
2020-08-26,1.14,0.117
2020-08-27,1.16,0.11
2020-08-28,1.18,0.106
2020-08-29,1.28,0.168
2020-08-30,1.25,0.17
2020-08-31,1.16,0.131
2020-09-01,1.14,0.123
2020-09-02,1.25,0.189
2020-09-03,NA,NA
2020-09-04,1.59,0.318
2020-09-05,1.6,0.455
2020-09-06,1.51,0.343
2020-09-07,1.59378904449584,0.43649318324603
2020-09-08,1.94821841604532,0.605730883199562
2020-09-09,1.80027965034689,0.473144417982032
2020-09-10,1.7887167701996,0.474893041524169
2020-09-11,1.5871199790092,0.310209510125984
2020-09-12,1.81387741218919,0.537570766474859
2020-09-13,1.75428475419719,0.416838211639496
2020-09-14,1.62002554073752,0.359847750835126
2020-09-15,1.58513028929466,0.369589021182254
2020-09-16,1.57486079415984,0.389102111269037
2020-09-17,1.6029264995416,0.340637098104275
2020-09-18,1.63245131439175,0.341908928607633
2020-09-19,1.40888408301685,0.212277606397254
2020-09-20,1.46691267621799,0.297003751702116
2020-09-21,1.43246613528793,0.315425397746093
2020-09-22,1.4043990731269,0.288618888130819
2020-09-23,1.70673615107269,0.532530303474739
2020-09-24,1.86989296093008,0.596068330469825
2020-09-25,1.62426009618699,0.380688411291312
2020-09-26,1.589639876442,0.394549121932853
2020-09-27,1.22287341599205,0.145079815737952
2020-09-28,1.22807598165665,0.210398357597782
2020-09-19,1.40888408301685,0.212277606397254
2020-09-20,1.46691267621799,0.297003751702116
2020-09-21,1.43246613528793,0.315425397746093
2020-09-22,1.4043990731269,0.288618888130819
2020-09-23,1.70673615107269,0.532530303474739
2020-09-24,1.86989296093008,0.596068330469825
2020-09-25,1.62426009618699,0.380688411291312
2020-09-26,1.589639876442,0.394549121932853
2020-09-27,1.22287341599205,0.145079815737952
2020-09-28,1.22807598165665,0.210398357597782
2020-09-30,1.4287792748861,0.249217486456314
2020-10-01,1.5152080101869,0.328975904818118
2020-10-02,1.66445619486037,0.476417090819747
2020-10-03,1.78726720473742,0.594639678432727
2020-10-04,1.82589713325244,0.569666442167839
2020-10-05,1.77372313718085,0.487437234497465
2020-10-06,1.86543428387716,0.922663521379371
2020-10-07,1.84652749555799,0.79478322162734
2020-10-08,2.21853582960991,1.11609342459527
2020-10-09,2.16399133204336,1.00222908996172
2020-10-10,1.58931759333631,0.398925546359423
2020-10-11,1.65390344602188,0.602596135223148
