"days","R_p","sd_p"
2020-07-15,0.9102844,0.05105318
2020-07-16,0.951,0.0629
2020-07-17,0.894,0.0542
2020-07-18,0.985,0.0774
2020-07-19,0.977,0.0603
2020-07-20,0.891,0.0403
2020-07-21,0.868,0.0386
2020-07-22,0.979,0.0624
2020-07-23,0.994,0.0609
2020-07-24,0.904,0.046
2020-07-25,0.812,0.047
2020-07-26,0.837,0.0418
2020-07-27,0.899,0.0482
2020-07-28,0.88,0.0466
2020-07-29,0.812,0.042
2020-07-30,0.964,0.0849
2020-07-31,NA,NA
2020-08-01,1.04,0.0824
2020-08-02,0.972,0.0559
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.02,0.105
2020-08-06,1.03,0.132
2020-08-07,1.01,0.117
2020-08-08,0.982,0.127
2020-08-09,1.14,0.149
2020-08-10,0.974,0.105
2020-08-11,0.945,0.0826
2020-08-12,1.03,0.0943
2020-08-13,1.11,0.167
2020-08-14,1.06,0.117
2020-08-15,1.16,0.24
2020-08-16,1.13,0.189
2020-08-17,1.09,0.183
2020-08-18,0.909,0.0836
2020-08-19,0.833,0.0682
2020-08-20,1.09,0.186
2020-08-21,1.33,0.301
2020-08-22,1.29,0.26
2020-08-23,1.13,0.179
2020-08-24,0.962,0.111
2020-08-25,0.956,0.123
2020-08-26,0.989,0.116
2020-08-27,1.18,0.226
2020-08-28,0.951,0.0975
2020-08-29,0.898,0.126
2020-08-30,0.965,0.19
2020-08-31,0.856,0.0994
2020-09-01,0.93,0.116
2020-09-02,1.13,0.216
2020-09-03,NA,NA
2020-09-04,1.57,0.219
2020-09-05,1.36,0.241
2020-09-06,1.69,0.5
2020-09-07,1.41390800870336,0.246260588103416
2020-09-08,1.03346549636526,0.111418319626665
2020-09-09,1.08923687648194,0.237630601435809
2020-09-10,0.991940331744151,0.168860992565173
2020-09-11,0.829197030249533,0.0902730819346456
2020-09-12,1.05805672626941,0.226412017163252
2020-09-13,0.902241061446992,0.147783398583653
2020-09-14,0.812548042960802,0.0999890353453323
2020-09-15,0.911977944702891,0.142049614088502
2020-09-16,1.04714685287336,0.160255661782361
2020-09-17,1.26775417234481,0.284579955309829
2020-09-18,1.16189570620668,0.182010548604983
2020-09-19,1.35533755637947,0.332266020856652
2020-09-20,1.35800880177353,0.37071471381791
2020-09-21,1.76012173615707,0.55483567913618
2020-09-22,1.36097154638622,0.246570653597815
2020-09-23,1.03434999043308,0.112700940421733
2020-09-25,1.36328363328638,0.304464127163083
2020-09-26,1.4440963973347,0.331580752224848
2020-09-27,1.5032610316675,0.388792131800115
2020-09-28,1.43439758153329,0.334256948976953
2020-09-19,1.35533755637947,0.332266020856652
2020-09-20,1.35800880177353,0.37071471381791
2020-09-21,1.76012173615707,0.55483567913618
2020-09-22,1.36097154638622,0.246570653597815
2020-09-23,1.03434999043308,0.112700940421733
2020-09-25,1.36328363328638,0.304464127163083
2020-09-26,1.4440963973347,0.331580752224848
2020-09-27,1.5032610316675,0.388792131800115
2020-09-28,1.43439758153329,0.334256948976953
2020-09-30,1.77699254987262,0.602996367851636
2020-10-01,1.40572212331328,0.216382298620329
2020-10-02,1.69197321283122,0.391975077730951
2020-10-03,1.93774493842102,0.699548293219067
2020-10-04,1.23411896074504,0.1829816580375
2020-10-05,1.59513320234229,0.456538738220668
2020-10-06,1.28250298408863,0.244485141405126
2020-10-07,1.42542902636458,0.42196990388022
2020-10-08,1.82297165952317,0.589059173188969
2020-10-09,1.69086614382548,0.434893027958509
2020-10-10,2.73287482159864,1.57037681611934
2020-10-11,1.95657641034186,0.591409850078767
2020-10-23,1.30812129252624,0.316758653392146
