"days","R_p","sd_p"
2020-07-16,0.9907547,0.07458031
2020-07-17,0.96,0.0507
2020-07-18,0.999,0.0556
2020-07-19,1.04,0.0569
2020-07-20,0.977,0.048
2020-07-21,0.97,0.0478
2020-07-22,0.943,0.0539
2020-07-23,1.04,0.0697
2020-07-24,0.951,0.0527
2020-07-25,0.976,0.0623
2020-07-26,0.966,0.0578
2020-07-27,0.974,0.0565
2020-07-28,1.01,0.056
2020-07-29,0.923,0.0469
2020-07-30,0.952,0.0555
2020-07-31,NA,NA
2020-08-01,0.958,0.0569
2020-08-02,0.949,0.0741
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.09,0.18
2020-08-06,1.04,0.141
2020-08-07,1.09,0.17
2020-08-08,1.45,0.367
2020-08-09,1.42,0.236
2020-08-10,1.43,0.255
2020-08-11,1.23,0.193
2020-08-12,1.02,0.107
2020-08-13,1.14,0.183
2020-08-14,1.09,0.141
2020-08-15,1.31,0.274
2020-08-16,1.39,0.335
2020-08-17,1.38,0.229
2020-08-18,1.2,0.187
2020-08-19,1.14,0.182
2020-08-20,0.924,0.09
2020-08-21,0.885,0.0657
2020-08-22,1.02,0.114
2020-08-23,1.39,0.299
2020-08-24,0.995,0.0966
2020-08-25,1.07,0.126
2020-08-26,1.24,0.249
2020-08-27,1.04,0.12
2020-08-28,1.13,0.169
2020-08-29,1.38,0.292
2020-08-30,1.25,0.183
2020-08-31,1.14,0.133
2020-09-01,1.16,1.16
2020-09-02,0.945,0.11
2020-09-03,NA,NA
2020-09-04,1.39,0.299
2020-09-05,2.41,0.985
2020-09-06,2.21,0.948
2020-09-07,2.07638679130699,0.802997387439816
2020-09-08,2.13791266979371,0.767126074566069
2020-09-09,1.74641339728165,0.525790327209863
2020-09-10,1.07716858909164,0.129758840939336
2020-09-11,1.25847959290352,0.343943045881921
2020-09-12,1.25746237476602,0.319267826292141
2020-09-13,1.29865257679339,0.36517296740686
2020-09-14,2.16296513431281,0.954919157560095
2020-09-15,2.31937586284059,0.981289443418603
2020-09-16,2.20840893201461,0.845255737562179
2020-09-17,1.55511808704584,0.33510678161572
2020-09-18,2.03874706077086,0.60009262928706
2020-09-19,1.89659108216245,0.549996290918029
2020-09-20,1.95303346813122,0.695127697925713
2020-09-21,2.01656403142389,0.765780214813955
2020-09-22,1.52253322363037,0.288670545790306
2020-09-23,1.71024486592647,0.662606613362616
2020-09-24,1.68719223052773,0.62330167940961
2020-09-25,1.90112968563749,0.747505193009499
2020-09-26,2.16759763173429,1.01315573881522
2020-09-27,1.90793500946459,0.701115317830194
2020-09-28,1.56146941208406,0.333198272728751
2020-09-19,1.89659108216245,0.549996290918029
2020-09-20,1.95303346813122,0.695127697925713
2020-09-21,2.01656403142389,0.765780214813955
2020-09-22,1.52253322363037,0.288670545790306
2020-09-23,1.71024486592647,0.662606613362616
2020-09-24,1.68719223052773,0.62330167940961
2020-09-25,1.90112968563749,0.747505193009499
2020-09-26,2.16759763173429,1.01315573881522
2020-09-27,1.90793500946459,0.701115317830194
2020-09-28,1.56146941208406,0.333198272728751
2020-09-30,1.75363211477578,0.631901734774338
2020-10-01,1.48522149856395,0.461193158316699
2020-10-02,1.38891201990163,0.387320066710238
2020-10-03,2.55003224955566,1.36625009326602
2020-10-04,2.26450881441012,0.952302950529207
2020-10-05,2.28214875437691,0.873195263446515
2020-10-06,2.56135341511969,1.51848941046818
2020-10-07,2.23890522512202,1.12282403425033
2020-10-08,1.52630812130116,0.424786808556002
2020-10-09,1.70886636680399,0.588658732457108
2020-10-10,2.21016031998315,1.22015063222243
2020-10-11,2.8817750182768,1.96883190214975
