"days","R_p","sd_p"
2020-07-16,1.021614,0.0466273
2020-07-17,1.07,0.0424
2020-07-18,1.07,0.0421
2020-07-19,1.05,0.0391
2020-07-20,0.999,0.0366
2020-07-21,1.05,0.0417
2020-07-22,1,0.0377
2020-07-23,1.14,0.0491
2020-07-24,1.12,0.0451
2020-07-25,1.11,0.0444
2020-07-26,1.09,0.0409
2020-07-27,1.04,0.0367
2020-07-28,0.983,0.0352
2020-07-29,0.958,0.0357
2020-07-30,0.928,0.0367
2020-07-31,NA,NA
2020-08-01,0.826,0.0307
2020-08-02,0.822,0.0299
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,0.898,0.0426
2020-08-06,0.873,0.0468
2020-08-07,0.9,0.0468
2020-08-08,0.91,0.0496
2020-08-09,0.987,0.0535
2020-08-10,0.955,0.0479
2020-08-11,0.962,0.0509
2020-08-12,1.06,0.0649
2020-08-13,1.07,0.0627
2020-08-14,1.11,0.0646
2020-08-15,1.16,0.0771
2020-08-16,1.11,0.0635
2020-08-17,1.07,0.0559
2020-08-18,1.12,0.0687
2020-08-19,1.04,0.057
2020-08-20,1.06,0.0572
2020-08-21,1.08,0.0661
2020-08-22,1.15,0.0792
2020-08-23,1.11,0.0651
2020-08-24,1.1,0.065
2020-08-25,1.08,0.061
2020-08-26,1.01,0.0517
2020-08-27,0.99,0.0479
2020-08-28,1.02,0.0612
2020-08-29,1.07,0.0703
2020-08-30,1.07,0.0671
2020-08-31,1.04,0.0583
2020-09-01,1.06,0.0615
2020-09-02,1.01,0.0551
2020-09-03,NA,NA
2020-09-04,1.3,0.152
2020-09-05,1.33,0.195
2020-09-06,1.41,0.192
2020-09-07,1.3421511193932,0.167318484075621
2020-09-08,1.27418403716107,0.135299675479211
2020-09-09,1.14848874303912,0.0976955089461526
2020-09-10,1.05729124798402,0.0908510380633701
2020-09-11,1.09691379199147,0.117235738337623
2020-09-12,1.24428355395519,0.195250438900344
2020-09-13,1.21217059285065,0.157165640395229
2020-09-14,1.21837130032562,0.16072306655104
2020-09-15,1.30987113368226,0.182240718013966
2020-09-16,1.19733143295221,0.120159116936603
2020-09-17,1.22640320947806,0.130040522792143
2020-09-18,1.37503505231415,0.182168223489978
2020-09-19,1.49616564055193,0.245806536226878
2020-09-20,1.48286463622582,0.209581214238029
2020-09-21,1.44473717906602,0.182101927337344
2020-09-22,1.44038088336743,0.198413069872291
2020-09-23,1.338164417582,0.149953747776577
2020-09-24,1.22805347069379,0.100425241160983
2020-09-25,1.30976231355962,0.163806484865078
2020-09-26,1.2755706117961,0.17967097982405
2020-09-27,1.31151099207913,0.180369767112941
2020-09-28,1.29119500240433,0.166425411024948
2020-09-19,1.49616564055193,0.245806536226878
2020-09-20,1.48286463622582,0.209581214238029
2020-09-21,1.44473717906602,0.182101927337344
2020-09-22,1.44038088336743,0.198413069872291
2020-09-23,1.338164417582,0.149953747776577
2020-09-24,1.22805347069379,0.100425241160983
2020-09-25,1.30976231355962,0.163806484865078
2020-09-26,1.2755706117961,0.17967097982405
2020-09-27,1.31151099207913,0.180369767112941
2020-09-28,1.29119500240433,0.166425411024948
2020-09-30,1.19084619262465,0.126018656205548
2020-10-01,1.04562184063703,0.067005559392555
2020-10-02,1.21414580618767,0.161321904210479
2020-10-03,1.28589778736701,0.193866398664719
2020-10-04,1.29938390248066,0.184121992676981
2020-10-05,1.09850233014811,0.090533396049781
2020-10-06,1.18441633676844,0.22588180536767
2020-10-07,1.17950391820584,0.19227223679346
2020-10-08,1.21416901148819,0.164258945596529
2020-10-09,1.36829769173715,0.236180798863707
2020-10-10,1.68421425783954,0.449415909912212
2020-10-11,1.7194864782689,0.344400371976646
