"days","R_p","sd_p"
2020-08-01,0.969,0.0404
2020-08-02,0.983,0.0396
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.02,0.0698
2020-08-06,1.22,0.146
2020-08-07,1.12,0.0877
2020-08-08,1.19,0.104
2020-08-09,1.06,0.0575
2020-08-10,0.943,0.0459
2020-08-11,0.928,0.0489
2020-08-12,0.89,0.0464
2020-08-13,0.852,0.0581
2020-08-14,0.878,0.0521
2020-08-15,0.87,0.0667
2020-08-16,1.05,0.107
2020-08-17,1.01,0.0754
2020-08-18,0.94,0.0578
2020-08-19,0.948,0.0576
2020-08-20,0.983,0.0592
2020-08-21,1.06,0.0805
2020-08-22,1.05,0.0729
2020-08-23,0.989,0.0768
2020-08-24,0.918,0.0542
2020-08-25,0.876,0.057
2020-08-26,0.952,0.077
2020-08-27,0.908,0.0562
2020-08-28,1.02,0.0882
2020-08-29,1.12,0.101
2020-08-30,1.19,0.125
2020-08-31,1.11,0.0733
2020-09-01,1.02,0.0584
2020-09-02,0.956,0.0563
2020-09-03,NA,NA
2020-09-04,1.15,0.115
2020-09-05,1.45,0.229
2020-09-06,1.13,0.129
2020-09-07,1.16481953037708,0.14976033659511
2020-09-08,1.20714504109108,0.159395166988075
2020-09-09,1.18363944736091,0.136743448347316
2020-09-10,1.15801576483636,0.149624249198124
2020-09-11,1.18258879614355,0.160719735368411
2020-09-12,1.37370847798901,0.206654073523346
2020-09-13,1.48647296757968,0.217036615199594
2020-09-14,1.22108102694056,0.120660600008368
2020-09-15,1.11549380517793,0.11222766498435
2020-09-16,1.13335593398782,0.11747001906407
2020-09-17,1.16503018055617,0.135442795137111
2020-09-18,1.39714566281448,0.224144031884952
2020-09-19,1.38920514908982,0.190277136913187
2020-09-20,1.14118166648378,0.102322512506566
2020-09-21,1.30348420176355,0.18697263809029
2020-09-22,1.27139900798316,0.142113220395463
2020-09-23,1.36898419946306,0.185010071363528
2020-09-24,1.43432155432443,0.193709583115854
2020-09-25,1.43315570128436,0.21484886799093
2020-09-26,1.50693124514804,0.235735991430222
2020-09-27,1.62064503419641,0.262639819807944
2020-09-28,1.43419395766449,0.175037638155125
2020-09-19,1.38920514908982,0.190277136913187
2020-09-20,1.14118166648378,0.102322512506566
2020-09-21,1.30348420176355,0.18697263809029
2020-09-22,1.27139900798316,0.142113220395463
2020-09-23,1.36898419946306,0.185010071363528
2020-09-24,1.43432155432443,0.193709583115854
2020-09-25,1.43315570128436,0.21484886799093
2020-09-26,1.50693124514804,0.235735991430222
2020-09-27,1.62064503419641,0.262639819807944
2020-09-28,1.43419395766449,0.175037638155125
2020-09-30,1.3288770712777,0.164495657259714
2020-10-01,1.38264321532406,0.197447373975698
2020-10-02,1.26712866747441,0.144077014769227
2020-10-03,1.31648853591633,0.185049003814211
2020-10-04,1.33227615664021,0.170588905535153
2020-10-05,1.53158757195635,0.268711674042257
2020-10-06,1.36041545696042,0.176016187755891
2020-10-07,1.31000078469435,0.175267154563781
2020-10-08,1.39597654937473,0.212197527179712
2020-10-09,1.33396361636016,0.135867725435065
2020-10-10,1.53554192280993,0.266052387112594
2020-10-11,1.41574712417614,0.197152340574478
2020-10-23,1.20632583019528,0.208500084420888
